row_id,Product Details
C1042374-DE67-41B7-961B-0C465F01134B,###############################################################################################################################################################################################################################################################
06B60225-D866-46A4-8F10-11FB9D7B70B5,###############################################################################################################################################################################################################################################################
3B7005A4-FA75-412C-9E00-3E64EB896B20,###############################################################################################################################################################################################################################################################
3D3ED089-DBE0-4351-ACBE-534DE51A4842,
63D3A507-6F69-46D5-BF9D-5496432A31C0,###############################################################################################################################################################################################################################################################
AFB125E7-F604-4ACE-8AA5-5AE5EAC6B8C8,###############################################################################################################################################################################################################################################################
E0C0B871-BE61-4667-9024-5DBBC3AC2498,###############################################################################################################################################################################################################################################################
94A09CB8-BED8-4D08-A8AF-6D91D309D3B9,###############################################################################################################################################################################################################################################################
BC2E28FB-B612-4C80-9664-71F17666CE9D,###############################################################################################################################################################################################################################################################
37D233BC-AF24-493A-8F4B-7C358CB69085,###############################################################################################################################################################################################################################################################
4E1405FC-6CDB-4B38-8615-7DA20DD9196C,###############################################################################################################################################################################################################################################################
C750BB85-D555-440D-A30C-86170C6EEDEC,###############################################################################################################################################################################################################################################################
26436D40-A828-41D4-A973-93B10BE84E10,###############################################################################################################################################################################################################################################################
7B7DB976-720E-4923-985D-94B344D99379,###############################################################################################################################################################################################################################################################
825D2FF6-09DC-4DC1-8AE9-96F2731D7B66,###############################################################################################################################################################################################################################################################
43600A15-93B7-4654-8785-B807682227B4,###############################################################################################################################################################################################################################################################
24051CD9-76AF-40EA-A3C0-E89231A27D93,###############################################################################################################################################################################################################################################################
22A95998-3C2C-4341-B7CD-E8AE762257FE,###############################################################################################################################################################################################################################################################
7C9DD627-7586-43D4-BE11-F1F43FCD3E4C,###############################################################################################################################################################################################################################################################
AD0B2EE4-CA53-45E5-B964-FE0C58E173EE,###############################################################################################################################################################################################################################################################
6AC7D5EC-603D-4D96-AC03-006F427E5186,Features:  Shade colour: Opal  Polished chrome finish  Class II  Assembly required    Specifications:  Accommodates: 3 x E14 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  50 cm - 80 cm H x 70 cm W x 13 cm D
04EDD04F-162E-4F1B-B1AA-01CDCDF87D04,Features:  Shade colour: Opal  Class I  Assembly required    Specifications:  Accommodates: 1 x E14 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  8.5 cm H x 20 cm W x 20 cm D
AAD77638-D9A1-46E6-8307-03242F7DBC64,Features:  Shade colour: Gass Craclee  Class II  Polished chrome finish  Assembly required   Specifications:  Accommodates: 1 x E27 Max 60W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  42.5 cm - 87.5 cm H x 19.5 cm W x 19.5 cm D
CC9909B3-0355-49BE-AC8E-052259E7D8D3,Features:  Shade colour: White  Polished chrome finish  Class I  Assembly required    Specifications:  Accommodates: 3 x E27 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  21 cm H x 42.5 cm W x 42.5 cm D
4B2514D8-EE86-4B35-9782-0539165AD68D,Features:  Shade colour: Beige Organza  Cherry wood finish  Class II  Assembly required    Specifications:  Accommodates: 1 x E27 Max 60W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  50 cm - 100 cm H x 45 cm W x 45 cm D
4F2DB2C6-796C-429E-B1D5-06097A0A1F2E,Features:  Shade colour: Beige Organza  Cherry wood finish  Class I  Assembly required    Specifications:  Accommodates: 2 x E27 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  40 cm - 62 cm H x 55 cm W x 16.5 cm D
39F6DB1A-BB39-4F65-B140-0981BF2100B9,###############################################################################################################################################################################################################################################################
8FEE5627-3955-4E61-982E-0A9F77B7A864,Features:  Shade colour: Beige Organza  Cherry wood finish  Class I  Assembly required    Specifications:  Accommodates: 4 x E27 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  62 cm - 100 cm H x 106.5 cm W x 20 cm D
D569D7B0-D7EA-4599-B9CE-0CB83A2CBFBD,Features:  Shade colour: White  Polished chrome finish  Class I  Assembly required    Specifications:  Accommodates: 4 x E27 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  78.5 cm - 113 cm H x 92 cm W x 15 cm D
E6F7ED1E-2AF5-4650-BEAC-0F853BF1BBB9,Features:  Polished chrome finish  Class I  Assembly required    Specifications:  Accommodates: 1 x E27 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  22 cm H x 26 cm W x 12 cm D
B23202AD-4418-4FD0-9D17-0FEBB59DE7D6,Features:  Shade colour: White  Polished chrome finish  Class I  Assembly required    Specifications:  Accommodates: 3 x E27 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  21 cm H x 42.5 cm W x 42.5 cm D
7F5F9C39-08EF-4355-A230-116DD621E7DF,Features:  Shade colour: Opal  Polished chrome finish  Class II  Assembly required    Specifications:  Accommodates: 3 x E14 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  50 cm - 80 cm H x 70 cm W x 13 cm D
4E278B0D-55B3-4889-BCE1-154362C51395,Features:  Shade colour: Black  Polished chrome finish  Class II  Assembly required    Specifications:  Accommodates: 1 x E27 Max 60W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  170 cm H x 25 cm W x 25 cm D
C7D1293C-1228-46EC-989A-17A418779CF7,Features:  Shade colour: White Organza  Wedge wood finish  Class I  Assembly required    Specifications:  Accommodates: 4 x E27 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  65.5 cm - 100 cm H x 103.5 cm W x 16.5 cm D
15AFB3F3-7A19-4799-A912-183C272A9A94,Features:  Shade colour: Beige Organza  Cherry wood finish  Class I  Assembly required    Specifications:  Accommodates: 2 x E27 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  40 cm - 62 cm H x 55 cm W x 16.5 cm D
4F4BCB2F-9483-470E-8F18-1A15C6EC5964,Features:  Polished chrome finish  Class I  Assembly required    Specifications:  Accommodates: 1 x E27 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  22 cm H x 16.5 cm W x 21 cm D
66954ECD-495E-4150-B879-1B87568BB850,Features:  Shade colour: Beige Organza  Cherry wood finish  Class II  Assembly required    Specifications:  Accommodates: 1 x E27 Max 60W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  50 cm - 100 cm H x 45 cm W x 45 cm D
A5E9EAAF-CEEB-4063-8009-1C0821ADDEE4,Features:  Class II  Assembly required    Specifications:  Accommodates: 1 x E27 Max 60W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  65 cm H x 39.5 cm W x 39.5 cm D
249A4666-DCCD-4D5E-9A5B-1C93508EA474,Features:  Polished chrome finish  Class I  Assembly required  Accommodates: 1 x E27 Max 40W (bulb not included) with 1 x LED Max 1W  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  61 cm H x 16.5 cm W x 22.5 cm D
8BB3F0F8-6FC4-4DBB-B621-1E74F10CEE66,Features:  Shade colour: Amber glass  Antique gold finish  Class I  Assembly required    Specifications:  Accommodates: 3 x E14 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  25 cm H x 40 cm W x 40 cm D
23FB358F-E47E-4857-8C6F-1EF2A69FAB0F,Features:  Shade colour: Black  Polished chrome finish  Class II  Assembly required    Specifications:  Accommodates: 1 x E27 Max 60W (bulb not included)  IP 20 Rating  Voltage: 230V - 50Hz    Dimensions:  50 cm - 80 cm H x 20 cm W x 20 cm D
2CA1E697-7F67-4B4F-99D2-2376FDB2B259,Features:  Shade colour: Beige Organza  Cherry wood finish  Class II  Assembly required    Specifications:  Accommodates: 1 x E27 Max 60W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  47 cm - 87 cm H x 40 cm W x 40 cm D
AB32E110-72A7-4D67-866D-244F293934A1,Features:  Shade colour: Blue  Brushed nickel finish  Class I  Assembly required    Specifications:  Accommodates: 1 x E14 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  44 cm H x 25 cm W x 25 cm D
3321C562-41BD-4424-B3CB-24D8B34E1154,Features:  Shade colour: Blue  Brushed nickel finish  Class I  Assembly required    Specifications:  Accommodates: 1 x E27 Max 40W (bulb not included) with 1 x LED Max 1W  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  63 cm H x 15 cm W x 19 cm D
79FB2EB2-3932-48F0-ABE7-266039C0180A,Features:  Class I  Assembly required  Accommodates: 1 x E27 Max 40W (bulb not included) with 1 x LED Max 1W  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  65 cm H x 20 cm W x 27.5 cm D
87F0A3F9-5329-4951-8517-277D2E047E1E,Features:  Shade colour: White Organza  Wedge wood finish  Class II  Assembly required    Specifications:  Accommodates: 1 x E27 Max 60W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  164 cm H x 45 cm W x 45 cm D
1F6BF731-B74A-4711-863B-2B114A581218,Features:  Shade colour: White Organza  Wedge wood finish  Class I  Assembly required    Specifications:  Accommodates: 1 x E27 Max 40W (bulb not included)  IP20 Rating  Voltage: 230V - 50Hz    Dimensions:  21.5 cm H x 15 cm W x 23 cm D
